rowId,source,campaign,startDate,endDate,nonSuspect,highRisk,suspect,total,clickClean,clickTotal,discrepancy,salesClean,salesTotal,prebidClean,prebidTotal,clickSuspect,salesSuspect,prebidSuspect,clickHighRisk,salesHighRisk,prebidHighRisk,nonSuspectRatio,suspectRatio,highRiskRatio,totalRisk,totalRiskRatio,clickCleanRatio,clickTotalRisk,clickTotalRiskRatio,clickRate,trueClickRate,discrepancyRatio,salesCleanRatio,salesTotalRisk,salesTotalRiskRatio,salesRate,prebidCleanRatio,prebidTotalRisk,prebidTotalRiskRatio,clickSuspectRatio,salesSuspectRatio,prebidSuspectRatio,clickHighRiskRatio,salesHighRiskRatio,prebidHighRiskRatio,rcDeviceReputationRatio,rcIpReputationRatio,rcProxyRatio,rcSpoofedRatio,rcHostingProviderRatio,rcAutomatedTrafficRatio,rcIdentifiedCrawlerRatio,mobileAttributionRiskRatio,totalAttributionRisk,highAttributionRisk,domain,subsource,sourceId,campaignId
103,5393,1055,2017-03-13,2017-03-18,6,1,0,7,0,0,7,6,7,0,0,0,0,0,0,1,0,0.857143,0,0.142857,1,0.142857,0,0,0,0,0,1,0.857143,1,0.142857,1,0,0,0,0,0,0,0,0.142857,0,0,0.142857,0,0,0,0,0,,,,,57128,5393,1055
104,6180,1068,2017-04-09,2017-04-09,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,google.co.jp,,6180,1068
105,6006,256,2017-03-12,2017-04-10,3,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,lawinfo.com,res,6006,256
106,5468,769,2017-03-12,2017-04-09,6,1,0,7,0,0,7,6,7,0,0,0,0,0,0,1,0,0.857143,0,0.142857,1,0.142857,0,0,0,0,0,1,0.857143,1,0.142857,1,0,0,0,0,0,0,0,0.142857,0,0,0.142857,0,0,0,0,0,,,,findlaw.com,dir,5468,769
107,5468,769,2017-03-17,2017-04-08,6,0,0,6,0,0,6,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,findlaw.com,bl,5468,769
108,5468,481,2017-03-13,2017-04-05,12,0,0,12,0,0,12,12,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333,0,,,,findlaw.com,latl,5468,481
109,6170,1055,2017-03-29,2017-03-29,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,thinkrtn.com,1628,6170,1055
110,6189,1067,2017-03-21,2017-04-05,3,0,0,3,0,0,4,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.33333,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,findlaw.com,,6189,1067
111,5308,481,2017-03-23,2017-04-03,10,1,0,11,0,0,11,10,11,0,0,0,0,0,0,1,0,0.909091,0,0.0909091,1,0.0909091,0,0,0,0,0,1,0.909091,1,0.0909091,1,0,0,0,0,0,0,0,0.0909091,0,0,0.0909091,0,0,0,0,0,,,,consumerinjurylaw.com,hpredirect,5308,481
112,6006,754,2017-03-12,2017-03-15,15,0,0,15,0,0,15,15,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,lawinfo.com,,6006,754
113,6006,256,2017-03-13,2017-04-08,23,0,0,23,0,0,23,23,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,lawinfo.com,ls,6006,256
114,5393,1055,2017-03-25,2017-04-05,4,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,consumerinjurylaw.com,58888,5393,1055
